Invoice Number	Invoice Date	Country of Origin	HS Code	Mat. NO.		Description	Default	Quantity	Weight per PC (kg)	Unit Price (per batch)	Price per PC	Total Price	Currency
59638720	04.02.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638720	04.02.2026	DE	870850	5QS521101D	87089900	Propeller shaft	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11	109.34	1 /PC	328.02	EUR
59638720	04.02.2026	DE	870894	5QT423051E	87089400	STEERING SYSTEM	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.9	269.05	1 /PC	807.15	EUR
59638720	04.02.2026	CZ	870891	5WA121251H	87089100	radiator	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.067	24.9	1 /PC	74.7	EUR
59638720	04.02.2026	PL	870899	5WA199315F	87089900	sub-frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.2	36.98	1 /PC	110.94	EUR
59638720	04.02.2026	CZ	841590	5WA816411A	84159000	refrigerant condenser with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	1.649	22.31	1 /PC	66.93	EUR
59638720	04.02.2026	CZ	830120	89A827506A	83012000	Hood latch	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.487	620.34	100 /PC	18.6	EUR
59638720	04.02.2026	PL	830230	89C800346F7C	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.144	671.05	100 /PC	6.71	EUR
59638720	04.02.2026	PL	392630	89C800346F9R	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.158	671.05	100 /PC	6.71	EUR
59638720	04.02.2026	PL	830230	89C800346S9R	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.158	671.05	100 /PC	6.71	EUR
59638720	04.02.2026	PL	830160	8V0827507H	#N/A	striker plate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.14	"1,164.39"	1000 /PC	3.48	EUR
59638720	04.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638720	04.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638720	04.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638727	05.02.2026	DE	870850	0CQ525010AN	87085000	Final drive	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	29.8	423.55	1 /PC	"1,270.65"	EUR
59638727	05.02.2026	DE	870850	3WA505235AF	#N/A	Sub frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	20.98	125.62	1 /PC	376.86	EUR
59638727	05.02.2026	CZ	870810	571807109C	87081090	Bumper	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.8	43.41	1 /PC	130.23	EUR
59638727	05.02.2026	PL	870892	57H253181AG	87082900	Intermediate pipe with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15.8	87.8	1 /PC	263.4	EUR
59638727	05.02.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638727	05.02.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638727	05.02.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638727	05.02.2026	CZ	870810	57H807101MF9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	11.82	459.83	1 /PC	919.66	EUR
59638727	05.02.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
59638727	05.02.2026	CZ	870810	57H807301CF9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	6	136.89	1 /PC	273.78	EUR
59638727	05.02.2026	CZ	870829	57H867427FZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.399	29.76	1 /PC	89.28	EUR
59638727	05.02.2026	CZ	870829	57H867428EZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.175	30.81	1 /PC	92.43	EUR
59638727	05.02.2026	CZ	870829	57H867975B4PK	87082900	Trim panel for hatch gate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.5	995.31	100 /PC	29.85	EUR
59638727	05.02.2026	CZ	940120	57H881031JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15	255.89	1 /PC	767.67	EUR
59638727	05.02.2026	CZ	940120	57H881032JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	16	252.46	1 /PC	757.38	EUR
59638727	05.02.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	227.58	1 /PC	682.74	EUR
59638727	05.02.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	256.08	1 /PC	768.24	EUR
59638727	05.02.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	86.29	1 /PC	258.87	EUR
59638727	05.02.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	78.51	1 /PC	235.53	EUR
59638727	05.02.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	330.44	1 /PC	991.32	EUR
59638727	05.02.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	252.37	1 /PC	757.11	EUR
59638727	05.02.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3	305.62	1 /PC	916.86	EUR
59638727	05.02.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638727	05.02.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638727	05.02.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	586.56	1 /PC	"1,759.68"	EUR
59638727	05.02.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	252.17	1 /PC	756.51	EUR
59638727	05.02.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638727	05.02.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
59638727	05.02.2026	CZ	700910	57J857501EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638727	05.02.2026	CZ	700910	57J857501EF9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	1.539	118.47	1 /PC	236.94	EUR
59638727	05.02.2026	CZ	700910	57J857502EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638727	05.02.2026	CZ	700910	57J857502EF9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	1.539	154.73	1 /PC	309.46	EUR
59638727	05.02.2026	CZ	570500	57J863011CA9	87082900	LUGGAGE COMPARTM.	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.047	815.54	100 /PC	24.48	EUR
59638727	05.02.2026	CZ	870829	57J863021B62U	#N/A	Floor cover	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.12	33.16	1 /PC	99.48	EUR
59638727	05.02.2026	SK	870829	57J863935	87089900	Sound baffle	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	6.34	25.09	1 /PC	75.27	EUR
59638727	05.02.2026	PL	870891	5Q0145803AD	87089900	charge air cooler	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.094	23.74	1 /PC	71.22	EUR
59638727	05.02.2026	CZ	870892	5QA253059MD	84213200	"EXHAUST SYSTEM, FR"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	13.789	658.7	1 /PC	"1,976.10"	EUR
59638727	05.02.2026	HU	870899	5QS201021AS	#N/A	FUEL TANK	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.761	157.99	1 /PC	473.97	EUR
59638727	05.02.2026	DE	870850	5QS400053	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	193.57	1 /PC	580.71	EUR
59638727	05.02.2026	DE	870850	5QS400054	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	28.6	194.47	1 /PC	583.41	EUR
59638727	05.02.2026	CZ	870880	5QS412021ME	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	7.5	59.11	1 /PC	354.66	EUR
59638727	05.02.2026	DE	870850	5QS501051EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638727	05.02.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18.8	141.91	1 /PC	425.73	EUR
59638727	05.02.2026	DE	870850	5QS521101D	87089900	Propeller shaft	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11	109.34	1 /PC	328.02	EUR
59638727	05.02.2026	DE	870894	5QT423051E	87089400	STEERING SYSTEM	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.9	269.05	1 /PC	807.15	EUR
59638727	05.02.2026	CZ	870891	5WA121251H	87089100	radiator	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.067	24.9	1 /PC	74.7	EUR
59638727	05.02.2026	PL	870899	5WA199315F	87089900	sub-frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.2	36.98	1 /PC	110.94	EUR
59638727	05.02.2026	CZ	841590	5WA816411A	84159000	refrigerant condenser with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	1.649	22.31	1 /PC	66.93	EUR
59638727	05.02.2026	CZ	841520	5WC816001G	84152090	HVAC UNIT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	8.674	114.01	1 /PC	684.06	EUR
59638727	05.02.2026	CZ	830120	89A827506A	83012000	Hood latch	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.487	620.34	100 /PC	18.6	EUR
59638727	05.02.2026	PL	830230	89C800346F7C	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	0.144	671.05	100 /PC	6.71	EUR
59638727	05.02.2026	PL	392630	89C800346F9R	87089900	DOOR HANDLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	0.158	671.05	100 /PC	13.42	EUR
59638727	05.02.2026	PL	830160	8V0827507H	#N/A	striker plate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	0.14	"1,164.39"	1000 /PC	3.48	EUR
59638727	05.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638727	05.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638727	05.02.2026	CZ	870710	57H800411038	#N/A	BODY W.PAINT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	470	"2,835.76"	1 /PC	"2,835.76"	EUR
59638728	05.02.2026	DE	870850	0CQ525010AN	87085000	Final drive	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	29.8	423.55	1 /PC	"1,270.65"	EUR
59638728	05.02.2026	DE	870850	3WA505235AF	#N/A	Sub frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	20.98	125.62	1 /PC	376.86	EUR
59638728	05.02.2026	CZ	870810	571807109C	87081090	Bumper	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.8	43.41	1 /PC	130.23	EUR
59638728	05.02.2026	PL	870892	57H253181AG	87082900	Intermediate pipe with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15.8	87.8	1 /PC	263.4	EUR
59638728	05.02.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638728	05.02.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638728	05.02.2026	CZ	870810	57H807101HS9R	87081090	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	13	261.15	1 /PC	261.15	EUR
59638728	05.02.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638728	05.02.2026	CZ	870810	57H807101RS9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	13	452.41	1 /PC	452.41	EUR
59638728	05.02.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
59638728	05.02.2026	CZ	870810	57H807301CS9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	133.76	1 /PC	133.76	EUR
59638728	05.02.2026	CZ	870810	57H807301ES9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	7	133.68	1 /PC	133.68	EUR
59638728	05.02.2026	CZ	870829	57H867427FZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	3.399	29.76	1 /PC	59.52	EUR
59638728	05.02.2026	CZ	870829	57H867427GZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	3.473	26.73	1 /PC	26.73	EUR
59638728	05.02.2026	CZ	870829	57H867428EZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	3.175	30.81	1 /PC	61.62	EUR
59638728	05.02.2026	CZ	870829	57H867428MZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	3.2	29.18	1 /PC	29.18	EUR
59638728	05.02.2026	CZ	870829	57H867975B4PK	87082900	Trim panel for hatch gate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.5	995.31	100 /PC	29.85	EUR
59638728	05.02.2026	CZ	940120	57H881031JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	15	255.89	1 /PC	255.89	EUR
59638728	05.02.2026	CZ	940120	57H881031LGTI	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	13.63	176.56	1 /PC	176.56	EUR
59638728	05.02.2026	CZ	940120	57H881031MCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	15	264.32	1 /PC	264.32	EUR
59638728	05.02.2026	CZ	940120	57H881032JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	16	252.46	1 /PC	252.46	EUR
59638728	05.02.2026	CZ	940120	57H881032LGTI	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	15.428	218.25	1 /PC	218.25	EUR
59638728	05.02.2026	CZ	940120	57H881032MCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	15	242	1 /PC	242	EUR
59638728	05.02.2026	CZ	940120	57H881041HGTI	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	10	143.35	1 /PC	143.35	EUR
59638728	05.02.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	10	227.58	1 /PC	455.16	EUR
59638728	05.02.2026	CZ	940120	57H881042HGTI	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	10	190.1	1 /PC	190.1	EUR
59638728	05.02.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	10	256.08	1 /PC	512.16	EUR
59638728	05.02.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	4	86.29	1 /PC	172.58	EUR
59638728	05.02.2026	UA	940120	57H885031BGSI	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	4	77.01	1 /PC	77.01	EUR
59638728	05.02.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	4	78.51	1 /PC	157.02	EUR
59638728	05.02.2026	UA	940120	57H885032BGSI	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	4	60.21	1 /PC	60.21	EUR
59638728	05.02.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	19	330.44	1 /PC	660.88	EUR
59638728	05.02.2026	PL	940120	57H885041BGSI	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	19	268.99	1 /PC	268.99	EUR
59638728	05.02.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	19	252.37	1 /PC	504.74	EUR
59638728	05.02.2026	PL	940120	57H885042BGSI	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	37	169.51	1 /PC	169.51	EUR
59638728	05.02.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	3	305.62	1 /PC	611.24	EUR
59638728	05.02.2026	CZ	851220	57H941035	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5.604	164.65	1 /PC	164.65	EUR
59638728	05.02.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	5.604	164.65	1 /PC	329.3	EUR
59638728	05.02.2026	CZ	851220	57H941036	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5.604	164.65	1 /PC	164.65	EUR
59638728	05.02.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	5.604	164.65	1 /PC	329.3	EUR
59638728	05.02.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	586.56	1 /PC	586.56	EUR
59638728	05.02.2026	CZ	854430	57H971051141	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	521.04	1 /PC	521.04	EUR
59638728	05.02.2026	CZ	854430	57H971051142	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	468.34	1 /PC	468.34	EUR
59638728	05.02.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	252.17	1 /PC	252.17	EUR
59638728	05.02.2026	CZ	854430	57H971058141	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	246.71	1 /PC	246.71	EUR
59638728	05.02.2026	CZ	854430	57H971058142	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	5	237.73	1 /PC	237.73	EUR
59638728	05.02.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638728	05.02.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
59638728	05.02.2026	CZ	700910	57J857501CS9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.207	45.05	1 /PC	45.05	EUR
59638728	05.02.2026	CZ	700910	57J857501EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	119.67	1 /PC	119.67	EUR
59638728	05.02.2026	CZ	700910	57J857501FS9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.312	140.28	1 /PC	140.28	EUR
59638728	05.02.2026	CZ	700910	57J857502CS9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.253	75.85	1 /PC	75.85	EUR
59638728	05.02.2026	CZ	700910	57J857502EF7C	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	156.29	1 /PC	156.29	EUR
59638728	05.02.2026	CZ	870829	57J857502FS9R	#N/A	EXTERIOR MIRROR	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	2.344	102.78	1 /PC	102.78	EUR
59638728	05.02.2026	CZ	570500	57J863011CA9	87082900	LUGGAGE COMPARTM.	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.047	815.54	100 /PC	24.48	EUR
59638728	05.02.2026	CZ	870829	57J863021B62U	#N/A	Floor cover	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.12	33.16	1 /PC	99.48	EUR
59638728	05.02.2026	SK	870829	57J863935	87089900	Sound baffle	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	6.34	25.09	1 /PC	75.27	EUR
59638728	05.02.2026	PL	870891	5Q0145803AD	87089900	charge air cooler	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.094	23.74	1 /PC	71.22	EUR
59638728	05.02.2026	CZ	870892	5QA253059MD	84213200	"EXHAUST SYSTEM, FR"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	13.789	658.7	1 /PC	"1,976.10"	EUR
59638728	05.02.2026	HU	870899	5QS201021AS	#N/A	FUEL TANK	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.761	157.99	1 /PC	473.97	EUR
59638728	05.02.2026	DE	870850	5QS400053	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	28.6	193.57	1 /PC	387.14	EUR
59638728	05.02.2026	DE	870850	5QS400053C	87089400	STEERING KNUCKLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	25.327	165.91	1 /PC	165.91	EUR
59638728	05.02.2026	DE	870850	5QS400054	87089400	Wheel bearing housing with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	28.6	194.47	1 /PC	388.94	EUR
59638728	05.02.2026	DE	870850	5QS400054C	87089400	STEERING KNUCKLE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	25.342	166.93	1 /PC	166.93	EUR
59638728	05.02.2026	CZ	870880	5QS412021ME	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	4	7.5	59.11	1 /PC	236.44	EUR
59638728	05.02.2026	CZ	870880	5QS412021MF	87088000	SUSPENSION STRUT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	7.38	43.57	1 /PC	87.14	EUR
59638728	05.02.2026	DE	870850	5QS501051DR	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	17.6	125.93	1 /PC	125.93	EUR
59638728	05.02.2026	DE	870850	5QS501051EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	18.8	141.91	1 /PC	283.82	EUR
59638728	05.02.2026	DE	870850	5QS501052DR	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	17.6	125.93	1 /PC	125.93	EUR
59638728	05.02.2026	DE	870850	5QS501052EB	#N/A	FINAL DRIVE	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	18.8	141.91	1 /PC	283.82	EUR
59638728	05.02.2026	DE	870850	5QS521101D	87089900	Propeller shaft	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11	109.34	1 /PC	328.02	EUR
59638728	05.02.2026	DE	870894	5QT423051E	87089400	STEERING SYSTEM	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.9	269.05	1 /PC	807.15	EUR
